company,date_posted,description,location,source,title,url
sarcartage -,29/01/2026,"Dans le cadre du développement et l'évolution de l'activité de notre partenaire sur son site à Tunis, nous recrutons des Conseillers Santé. Nous vous offrons le package suivant: Salaire: Salaire...","Tunis, Tunis, Tunisie",tanitjobs,Téléconseillers Santé,https://www.tanitjobs.com/job/1969611/t%C3%A9l%C3%A9conseillers-sant%C3%A9/?backPage=1&searchID=1769677804.9771
CTS Tunisie -,29/01/2026,"Rejoignez le groupe Celeste, leader de l'internet Entreprise en France depuis plus de 25 ans ! Pionnier dans les domaines de l'accès Internet, du Cloud et de la cybersécurité, Celeste Group offre une expertise unique en...","Centre Urbain Nord, Ariana, Tunisie",tanitjobs,Commercial Sédentaire,https://www.tanitjobs.com/job/1941099/commercial-s%C3%A9dentaire/?backPage=1&searchID=1769677804.9771
excel pro -,29/01/2026,"Nous sommes une filiale d’un groupe français, leader international dans le domaine des énergies renouvelables, et nous sommes basés à Tunis. Nous recherchons actuellement 4 confirmateurs des rendez-vous...","Tunis, Tunis, Tunisie",tanitjobs,Agent de Confirmation,https://www.tanitjobs.com/job/1969613/agent-de-confirmation/?backPage=1&searchID=1769677804.9771
la nouvelle clinique du parc -,29/01/2026,veiller à assurer et imposer  les règles d'hygiène dans une clinique privée,"Tunis, Tunis, Tunisie",tanitjobs,hygieniste,https://www.tanitjobs.com/job/1978575/hygieniste/?backPage=1&searchID=1769677804.9771
Enpal -,29/01/2026,"Enpal é il green unicorn 1° in Europa. Enpal  è un'azienda leader nel settore delle energie rinnovabili, specializzata nell'installazione di impianti fotovoltaici residenziali e commerciali. Fondata a Berlino nel...","Les berges du lac, Tunis, Tunisie",tanitjobs,Team Leader - Dipartimento Operations | Settore Fotovoltaico | Italiano Fluente Richiesto,https://www.tanitjobs.com/job/1978584/team-leader-dipartimento-operations-settore-fotovoltaico-italiano-fluente-richiesto/?backPage=1&searchID=1769677804.9771
STE PHARMIMPORT -,29/01/2026,"Dans le cadre de notre développement, LBDC , société spécialisée dans la distribution de produits cosmétiques,  recherche un(e) assistant(e) pour le poste Vente en ligne / E-commerce ,...","Marsa, Tunis, Tunisie",tanitjobs,Vente en ligne / E-commerce,https://www.tanitjobs.com/job/1978588/vente-en-ligne-e-commerce/?backPage=1&searchID=1769677804.9771
Bacovet International -,29/01/2026,Mangement et coordination de l'administration RH Recrutement de la main d'œuvre directe communication interne et externe,"Tunis, Tunis, Tunisie",tanitjobs,chargé(e) administration du personnel,https://www.tanitjobs.com/job/1978586/charg%C3%A9-e-administration-du-personnel/?backPage=1&searchID=1769677804.9771
société multinationale -,29/01/2026,Société multinationale sise à Sousse désire recruter pour renforcer ses équipes: Des chefs projets industrialisation ayant comme missions principales: 1. Pilotage de projets industriels :...,"Tunis, Tunis, Tunisie",tanitjobs,Chef de projet industrialisation,https://www.tanitjobs.com/job/1978582/chef-de-projet-industrialisation/?backPage=1&searchID=1769677804.9771
Teliora Call Center -,29/01/2026,"Nouvelle saison, nouvelles opportunités ! L’automne s’installe… et si c’était le moment de donner un nouvel élan à votre carrière ? Nous lançons notre campagne de...","Tunis, Tunis, Tunisie",tanitjobs,recrutement des téléopérateurs-télévendeurs,https://www.tanitjobs.com/job/1949255/recrutement-des-t%C3%A9l%C3%A9op%C3%A9rateurs-t%C3%A9l%C3%A9vendeurs/?backPage=1&searchID=1769677804.9771
,29/01/2026,"Mission : Assurer l’entretien et le bon fonctionnement du matériel informatique. Diagnostiquer les pannes et intervenir pour les résoudre, qu’elles concernent les postes de travail, les logiciels ou les...","La Marsa, Tunis, Tunisie",tanitjobs,Technicien en Informatique,https://www.tanitjobs.com/job/1845198/technicien-en-informatique/?backPage=1&searchID=1769677804.9771
Teliora Call Center -,29/01/2026,Rejoignez notre équipe et participez à la transition énergétique ! Nous recherchons un(e) agent de prise de rendez-vous dynamique et motivé(e) pour renforcer notre call center spécialisé dans...,"Tunis, Tunis, Tunisie",tanitjobs,Agent(e) de Prise de Rendez-vous,https://www.tanitjobs.com/job/1951405/agent-e-de-prise-de-rendez-vous/?backPage=1&searchID=1769677804.9771
