company,date_posted,description,location,source,title,url
Rivezli.tn -,25/01/2026,"Lyceena Academy, plateforme d’éducation en ligne innovante, est en forte croissance et renforce son département Production pour accompagner le développement de ses supports pédagogiques imprimés...","Centre Urbain Nord, Tunis, Tunisie",tanitjobs,Lyceena Academy recrute : Chargé(e) de Production des Livres,https://www.tanitjobs.com/job/1977445/lyceena-academy-recrute-charg%C3%A9-e-de-production-des-livres/?backPage=1&searchID=1769354897.9485
Badiaa -,25/01/2026,Nous recrutons un(e) Agent Commercial pour la commercialisation de nos produits de nettoyage. Missions : Prospecter et développer un portefeuille clients Présenter et vendre les produits Assurer le suivi commercial...,"El Mourouj 6, Ben Arous, Tunisie",tanitjobs,Agent Commercial – Produits de nettoyage,https://www.tanitjobs.com/job/1977417/agent-commercial-produits-de-nettoyage/?backPage=1&searchID=1769354897.9485
in my contacts -,25/01/2026,"Dans le cadre de son développement, une agence de marketing digital recherche un(e) Community Manager créatif(ve), organisé(e) et doté(e) d’un bon sens de l’analyse, avec des connaissances en Meta Ads....","Tunis, Tunis, Tunisie",tanitjobs,Community Manager,https://www.tanitjobs.com/job/1977419/community-manager/?backPage=1&searchID=1769354897.9485
BLUE SQUARE INDUSTRY -,25/01/2026,"Une société de commerce et d’industrie international, solidement établie en Asie, Europe et Afrique, étend son équipe en Tunisie et recherche un responsable.Achat, Sourcing avec expérience terrain...","Hammam Sousse, Sousse, Tunisie",tanitjobs,"Responsable Achat, Production, Sourcing",https://www.tanitjobs.com/job/1974305/responsable-achat-production-sourcing/?backPage=1&searchID=1769354897.9485
in my contacts -,25/01/2026,"L’agence In My Contacts, spécialisée en marketing digital, recherche un(e) Designer / UX Designer créatif(ve), organisé(e) et orienté(e) expérience utilisateur, capable de concevoir des...","Tunis, Tunis, Tunisie",tanitjobs,Designer / UX Designer,https://www.tanitjobs.com/job/1977420/designer-ux-designer/?backPage=1&searchID=1769354897.9485
FONDATION BOUEBDELLI TUNIS -,25/01/2026,La Fondation Bouebdelli à Tunis recrute un(e) enseignant(e) de dessin pour le primaire et le collège afin d’intégrer son équipe pédagogique. Les candidatures d’enseignants...,"Tunis, Tunis, Tunisie",tanitjobs,Enseignant(e) de Dessin (Primaire & Collège),https://www.tanitjobs.com/job/1977434/enseignant-e-de-dessin-primaire-coll%C3%A8ge/?backPage=1&searchID=1769354897.9485
3TF -,24/01/2026,"Nous sommes un organisme de formation engagé dans l'accompagnement et le développement des compétences de nos clients. Dans le cadre de notre croissance, nous recherchons  une Assistante Commerciale...","Ariana, Tunisie",tanitjobs,Assistante commerciale / Conseillère formation,https://www.tanitjobs.com/job/1977374/assistante-commerciale-conseill%C3%A8re-formation/?backPage=1&searchID=1769354897.9485
IAM ENGINEERING SERVICES -,24/01/2026,Nous sommes à la recherche d'un Ingénieur en Génie Electrique (spécialité Systèmes électriques ou électrotechnique) qui sera amené à réaliser des études...,"162 Av. de l'UMA, Omrane Center,",tanitjobs,Ingénieur en Génie Electrique (H/F),https://www.tanitjobs.com/job/1977377/ing%C3%A9nieur-en-g%C3%A9nie-electrique-h-f/?backPage=1&searchID=1769354897.9485
Smart Conseil -,24/01/2026,Smarte Conseil est un éditeur de logiciels avec une branche conseil spécialisée dans l'IA et le Big Data. Nous accompagnons nos clients dans leur transformation numérique grâce à des solutions innovantes...,"Cité El Ghazala, Ariana, Tunisie",tanitjobs,Commercial IT (SCI0100),https://www.tanitjobs.com/job/1977347/commercial-it-sci0100/?backPage=1&searchID=1769354897.9485
Smart Conseil -,24/01/2026,"SMART Conseil est un éditeur de logiciels spécialisé en Data Science et en Intelligence Artificielle.   Dans le cadre du développement de nos activités, nous recrutons un(e) Product Owner pour...","Cité El Ghazala, Ariana, Tunisie",tanitjobs,Product Owner (SMASCP01),https://www.tanitjobs.com/job/1977348/product-owner-smascp01/?backPage=1&searchID=1769354897.9485
OLIGO -,24/01/2026,"OLIGO est une marque de vêtement féminins , recrute une responsable de magasin avec expérience Obligatoire , Pour notre magasin à Gabès ( beb bhar ) . Missions principales : Gérer le bon...","Gabès, Gabès, Tunisie",tanitjobs,"Responsable de Magasin expérimenté,GABES",https://www.tanitjobs.com/job/1977344/responsable-de-magasin-exp%C3%A9riment%C3%A9-gabes/?backPage=1&searchID=1769354897.9485
Smart Conseil -,24/01/2026,"Smart Conseil est un éditeur de logiciels avec une branche conseille spécialisée dans l’intelligence artificielle , le Big Data et les technologies de demain. Nous développons des solutions innovantes pour la...","Cité El Ghazala, Ariana, Tunisie",tanitjobs,Assistant Commercial (AC0824),https://www.tanitjobs.com/job/1977349/assistant-commercial-ac0824/?backPage=1&searchID=1769354897.9485
Smart Conseil -,24/01/2026,"Smart Conseil  est un éditeur de logiciels, nous offrons à nos clients des solutions dans le domaine de l'intelligence artificielle et la data science ainsi qu'une expertise pour accompagner leur processus de...","Cité El Ghazala, Ariana, Tunisie",tanitjobs,Coordinateur de formation (CFRPD01),https://www.tanitjobs.com/job/1977350/coordinateur-de-formation-cfrpd01/?backPage=1&searchID=1769354897.9485
Smart Conseil -,24/01/2026,"1. Développement des Partenariats : Identifier et cibler les établissements scolaires (écoles, lycées, universités) pour créer des partenariats stratégiques alignés avec nos...","Cité El Ghazala, Ariana, Tunisie",tanitjobs,commerciale (RDPEE098),https://www.tanitjobs.com/job/1977353/commerciale-rdpee098/?backPage=1&searchID=1769354897.9485
HAKIM GROUP -,24/01/2026,"Dans le cadre de notre développement, la société SOTECA ELECTRIC recrute 2 Chef de chantier en électricité industrielle. Missions :  Superviser et coordonner les équipes sur le chantier...","Sfax, Sfax, Tunisie",tanitjobs,Chef de chantier en électricité industrielle,https://www.tanitjobs.com/job/1977263/chef-de-chantier-en-%C3%A9lectricit%C3%A9-industrielle/?backPage=1&searchID=1769354897.9485
